Mois,harcèlement
2004-01,47
2004-02,42
2004-03,55
2004-04,65
2004-05,50
2004-06,58
2004-07,32
2004-08,24
2004-09,31
2004-10,50
2004-11,48
2004-12,31
2005-01,34
2005-02,40
2005-03,48
2005-04,42
2005-05,39
2005-06,26
2005-07,19
2005-08,20
2005-09,26
2005-10,40
2005-11,45
2005-12,35
2006-01,29
2006-02,40
2006-03,33
2006-04,30
2006-05,33
2006-06,31
2006-07,22
2006-08,17
2006-09,30
2006-10,28
2006-11,36
2006-12,29
2007-01,39
2007-02,35
2007-03,39
2007-04,33
2007-05,39
2007-06,27
2007-07,20
2007-08,19
2007-09,23
2007-10,40
2007-11,33
2007-12,28
2008-01,29
2008-02,32
2008-03,37
2008-04,31
2008-05,28
2008-06,25
2008-07,21
2008-08,15
2008-09,18
2008-10,27
2008-11,24
2008-12,24
2009-01,21
2009-02,22
2009-03,25
2009-04,21
2009-05,19
2009-06,18
2009-07,18
2009-08,16
2009-09,20
2009-10,21
2009-11,22
2009-12,22
2010-01,19
2010-02,23
2010-03,23
2010-04,20
2010-05,22
2010-06,20
2010-07,18
2010-08,16
2010-09,21
2010-10,22
2010-11,29
2010-12,24
2011-01,22
2011-02,25
2011-03,29
2011-04,26
2011-05,34
2011-06,29
2011-07,19
2011-08,20
2011-09,28
2011-10,28
2011-11,32
2011-12,28
2012-01,33
2012-02,34
2012-03,33
2012-04,29
2012-05,41
2012-06,33
2012-07,26
2012-08,26
2012-09,33
2012-10,36
2012-11,34
2012-12,28
2013-01,31
2013-02,36
2013-03,34
2013-04,32
2013-05,28
2013-06,29
2013-07,24
2013-08,17
2013-09,28
2013-10,34
2013-11,38
2013-12,35
2014-01,37
2014-02,42
2014-03,39
2014-04,34
2014-05,33
2014-06,33
2014-07,22
2014-08,20
2014-09,31
2014-10,34
2014-11,38
2014-12,32
2015-01,32
2015-02,54
2015-03,49
2015-04,40
2015-05,32
2015-06,33
2015-07,26
2015-08,23
2015-09,37
2015-10,39
2015-11,72
2015-12,43
2016-01,50
2016-02,52
2016-03,50
2016-04,44
2016-05,54
2016-06,39
2016-07,26
2016-08,24
2016-09,44
2016-10,48
2016-11,62
2016-12,42
2017-01,52
2017-02,48
2017-03,52
2017-04,41
2017-05,43
2017-06,36
2017-07,25
2017-08,24
2017-09,39
2017-10,82
2017-11,100
2017-12,58
2018-01,62
2018-02,59
2018-03,68
2018-04,49
2018-05,51
2018-06,47
2018-07,34
2018-08,33
2018-09,47
2018-10,54
2018-11,98
2018-12,53
2019-01,56
2019-02,61
2019-03,61
2019-04,52
2019-05,54
2019-06,49
2019-07,40
2019-08,26
2019-09,69
2019-10,64
2019-11,72
2019-12,56
2020-01,67
2020-02,73
2020-03,48
2020-04,37
2020-05,41
2020-06,43
2020-07,42
2020-08,36
2020-09,51
2020-10,54
2020-11,67
2020-12,54
2021-01,57
2021-02,58
2021-03,72
2021-04,55
2021-05,61
2021-06,53
2021-07,33
2021-08,29
2021-09,59
2021-10,65
2021-11,84
2021-12,59
2022-01,68
2022-02,67
2022-03,73
2022-04,53
2022-05,64
2022-06,53
2022-07,33
2022-08,46
2022-09,49
